STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN001080500,"BEGUMPET OBSERVATORY, IN",26-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",27-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",28-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",29-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",30-04-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",01-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",02-05-1970,0.36,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",03-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",04-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",05-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",06-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",07-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",08-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",09-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",10-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",11-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",12-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",13-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",14-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",15-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",16-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",18-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",19-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",20-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",21-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",22-05-1970,0.3,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",23-05-1970,0.78,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",24-05-1970,0.28,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",25-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",26-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",27-05-1970,0.04,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",28-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",29-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",30-05-1970,1.32,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",31-05-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",01-06-1970,0.03,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",02-06-1970,0.86,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",03-06-1970,0.34,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",04-06-1970,0.05,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",05-06-1970,0.06,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",06-06-1970,0.07,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",07-06-1970,0.42,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",08-06-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",09-06-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",10-06-1970,0.34,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",11-06-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",12-06-1970,0.29,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",13-06-1970,0.02,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",14-06-1970,0.54,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",15-06-1970,0.08,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",16-06-1970,0.01,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17-06-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",18-06-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",19-06-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",20-06-1970,0.11,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",21-06-1970,0.67,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",22-06-1970,0.98,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",23-06-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",24-06-1970,0.11,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",25-06-1970,0.03,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",26-06-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",27-06-1970,0.43,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",28-06-1970,0.15,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",29-06-1970,1.23,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",30-06-1970,0.06,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",01-07-1970,0.06,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",02-07-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",03-07-1970,0.43,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",04-07-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",05-07-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",06-07-1970,0.02,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",07-07-1970,0.19,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",08-07-1970,0.06,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",09-07-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",10-07-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",11-07-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",12-07-1970,0.03,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",13-07-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",14-07-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",15-07-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",16-07-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17-07-1970,0.02,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",18-07-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",19-07-1970,0.02,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",20-07-1970,0.57,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",21-07-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",22-07-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",23-07-1970,0.02,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",24-07-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",25-07-1970,0.15,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",26-07-1970,0.25,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",27-07-1970,1.61,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",28-07-1970,0.03,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",29-07-1970,0.82,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",30-07-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",31-07-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",01-08-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",02-08-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",03-08-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",04-08-1970,0.02,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",05-08-1970,0.95,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",06-08-1970,0.06,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",07-08-1970,0.28,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",08-08-1970,0.07,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",09-08-1970,0.02,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",10-08-1970,1.73,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",11-08-1970,0.5,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",12-08-1970,0.02,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",13-08-1970,0.07,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",14-08-1970,1.42,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",15-08-1970,0.37,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",16-08-1970,0.69,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17-08-1970,1.83,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",18-08-1970,1.27,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",19-08-1970,0.94,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",20-08-1970,0.02,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",21-08-1970,0.41,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",22-08-1970,2.43,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",23-08-1970,1.57,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",24-08-1970,0.9,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",25-08-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",26-08-1970,0.07,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",27-08-1970,0.02,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",28-08-1970,0.1,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",29-08-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",30-08-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",31-08-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",01-09-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",02-09-1970,0.03,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",03-09-1970,0.76,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",04-09-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",05-09-1970,0.12,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",06-09-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",07-09-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",08-09-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",09-09-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",10-09-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",11-09-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",12-09-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",13-09-1970,0.39,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",14-09-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",15-09-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",16-09-1970,0.95,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17-09-1970,1.4,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",18-09-1970,0.2,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",19-09-1970,1.43,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",20-09-1970,0.95,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",21-09-1970,0.54,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",22-09-1970,4.69,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",23-09-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",24-09-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",25-09-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",26-09-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",27-09-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",28-09-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",29-09-1970,0.04,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",30-09-1970,0,,,
