"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-23","0.02",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-24","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-25","0.15",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-26","0.25",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-27","1.61",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-28","0.03",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-29","0.82",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-30","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-07-31","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-01","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-02","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-03","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-04","0.02",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-05","0.95",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-06","0.06",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-07","0.28",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-08","0.07",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-09","0.02",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-10","1.73",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-11","0.50",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-12","0.02",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-13","0.07",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-14","1.42",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-15","0.37",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-16","0.69",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-17","1.83",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-18","1.27",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-19","0.94",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-20","0.02",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-21","0.41",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-22","2.43",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-23","1.57",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-24","0.90",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-25","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-26","0.07",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-27","0.02",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-28","0.10",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-29","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-30","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-08-31","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-01","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-02","0.03",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-03","0.76",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-04","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-05","0.12",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-06","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-07","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-08","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-09","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-10","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-11","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-12","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-13","0.39",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-14","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-15","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-16","0.95",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-17","1.40",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-18","0.20",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-19","1.43",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-20","0.95",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-21","0.54",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-22","4.69",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-23","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-24","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-25","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-26","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-27","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-28","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-29","0.04",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-09-30","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-01","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-02","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-03","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-04","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-05","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-06","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-07","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-08","0.53",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-09","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-10","0.21",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-11","0.52",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-12","0.07",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-13","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-14","0.81",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-15","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-16","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-17","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-18","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-19","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-20","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-21","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-22","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-23","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-24","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-25","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-26","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-27","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-28","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-29","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-30","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-10-31","0.00",,,
